year	population	births	marriages	deaths	imortality
1966	7850000	153335	66689	88418	3819
1967	7862000	145802	68876	87610	3489
1968	7873000	141920	73307	91169	3282
1969	7885000	146221	75220	88535	3563
1970	7894862	149192	74174	88161	3230
1971	7832000	131920	73810	86724	2751
1972	7731000	117088	73253	85363	2321
1973	7648000	110639	70104	82319	2206
1974	7566000	110642	61925	79846	2175
1975	7484000	109418	59591	76312	2110
1976	7401000	109995	55829	77538	2092
1977	7318000	110486	52804	75011	1971
1978	7236000	106720	54247	73081	1827
1979	7154000	106021	58532	72079	1767
1980	7071639	107066	58637	76625	1719
1981	7097000	108547	61775	73329	1678
1982	7122000	111487	66619	73083	1706
1983	7147000	112353	68164	73544	1603
1984	7172000	113332	76336	74278	1540
1985	7197000	118542	77897	74852	1591
1986	7222000	122108	82199	75702	1566
1987	7247000	127386	76194	76448	1673
1988	7272000	132226	74137	77817	1770
1989	7297000	137673	69758	75957	1827
1990	7322564	139630	71301	73875	1620
1991	7388000	138148	69314	72421	1575
1992	7455000	136002	71947	71001	1390
1993	7522000	133583	72490	73408	1366
1994	7590000	133662	70438	71038	1207
1995	7658000	131009	71507	70769	1155
1996	7727000	126901	79361	66784	992
1997	7796000	123313	80027	62506	881
1998	7866000	124252	53661	61010	843
1999	7937000	123739	55075	62470	848
2000	8008278	125563	58291	60839	839
2001	8060000	124023	72587	62964	760
2002	8072000	122937	65490	59651	742
2003	8068000	124345	61101	59213	807
2004	8043000	124099	62057	57466	760
2005	8013000	122725	66348	57068	732
2006	7994000	125506	65619	55391	740
2007	8014000	128961	66483	54073	697
2008	8068000	127680	66670	54193	698
2009	8132000	126774	65542	52881	668
2010	8175133	124791	67051	52575	609
