Year	Population	LiveBirths	LiveBirths	Marriages	Marriages	Deaths	Deaths	InfantMortality	InfantMortality
1966	7850000	153335	19.5	66689	8.5	88418	11.3	3819	24.9
1967	7862000	145802	18.5	68876	8.8	87610	11.1	3489	23.9
1968	7873000	141920	18	73307	9.3	91169	11.6	3282	23.1
1969	7885000	146221	18.5	75220	9.5	88535	11.2	3563	24.4
1970	7894862	149192	18.9	74174	9.4	88161	11.2	3230	21.6
1971	7832000	131920	16.8	73810	9.4	86724	11.1	2751	20.9
1972	7731000	117088	15.1	73253	9.5	85363	11	2321	19.8
1973	7648000	110639	14.5	70104	9.2	82319	10.8	2206	19.9
1974	7566000	110642	14.6	61925	8.2	79846	10.6	2175	19.7
1975	7484000	109418	14.6	59591	8	76312	10.2	2110	19.3
1976	7401000	109995	14.9	55829	7.5	77538	10.5	2092	19
1977	7318000	110486	15.1	52804	7.2	75011	10.3	1971	17.8
1978	7236000	106720	14.7	54247	7.5	73081	10.1	1827	17.1
1979	7154000	106021	14.8	58532	8.2	72079	10.1	1767	16.7
1980	7071639	107066	15.1	58637	8.3	76625	10.8	1719	16.1
1981	7097000	108547	15.3	61775	8.7	73329	10.3	1678	15.5
1982	7122000	111487	15.7	66619	9.4	73083	10.3	1706	15.3
1983	7147000	112353	15.7	68164	9.5	73544	10.3	1603	14.3
1984	7172000	113332	15.8	76336	10.6	74278	10.4	1540	13.6
1985	7197000	118542	16.5	77897	10.8	74852	10.4	1591	13.4
1986	7222000	122108	16.9	82199	11.4	75702	10.5	1566	12.8
1987	7247000	127386	17.6	76194	10.5	76448	10.5	1673	13.1
1988	7272000	132226	18.2	74137	10.2	77817	10.7	1770	13.4
1989	7297000	137673	18.9	69758	9.6	75957	10.4	1827	13.3
1990	7322564	139630	19.1	71301	9.7	73875	10.1	1620	11.6
1991	7388000	138148	18.7	69314	9.4	72421	9.8	1575	11.4
1992	7455000	136002	18.2	71947	9.7	71001	9.5	1390	10.2
1993	7522000	133583	17.8	72490	9.6	73408	9.8	1366	10.2
1994	7590000	133662	17.6	70438	9.3	71038	9.4	1207	9
1995	7658000	131009	17.1	71507	9.3	70769	9.2	1155	8.8
1996	7727000	126901	16.4	79361	10.3	66784	8.6	992	7.8
1997	7796000	123313	15.8	80027	10.3	62506	8	881	7.1
1998	7866000	124252	15.8	53661	6.8	61010	7.8	843	6.8
1999	7937000	123739	15.6	55075	6.9	62470	7.9	848	6.9
2000	8008278	125563	15.7	58291	7.3	60839	7.6	839	6.7
2001	8060000	124023	15.4	72587	9	62964	7.8	760	6.1
2002	8072000	122937	15.2	65490	8.1	59651	7.4	742	6
2003	8068000	124345	15.4	61101	7.6	59213	7.3	807	6.5
2004	8043000	124099	15.4	62057	7.7	57466	7.1	760	6.1
2005	8013000	122725	15.3	66348	8.3	57068	7.1	732	6
2006	7994000	125506	15.7	65619	8.2	55391	6.9	740	5.9
2007	8014000	128961	16.1	66483	8.3	54073	6.7	697	5.4
2008	8068000	127680	15.8	66670	8.3	54193	6.7	698	5.5
2009	8132000	126774	15.6	65542	8.1	52881	6.5	668	5.3
2010	8175133	124791	15.3	67051	8.2	52575	6.4	609	4.9
